FEvals,Fitness
100.0,13.875
202.0,33.75
304.0,35.75
405.0,35.833333333333336
406.0,37.5
506.0,35.8
507.0,37.333333333333336
607.0,36.666666666666664
608.0,37.5
609.0,39.0
708.0,36.666666666666664
709.0,38.333333333333336
710.0,37.5
809.0,36.5
810.0,38.5
811.0,37.5
910.0,36.5
911.0,38.5
912.0,39.0
913.0,37.0
1011.0,36.5
1012.0,39.0
1013.0,39.5
1014.0,37.0
1112.0,37.0
1113.0,38.5
1114.0,39.5
1115.0,37.0
1213.0,37.0
1214.0,38.5
1215.0,39.5
1216.0,37.0
1314.0,37.0
1315.0,38.5
1316.0,39.0
1317.0,41.0
1318.0,38.0
1416.0,39.0
1417.0,39.0
1419.0,40.5
1517.0,41.0
1518.0,39.5
1519.0,40.0
1520.0,40.5
1618.0,41.0
1619.0,39.0
1620.0,42.0
1621.0,40.666666666666664
1721.0,42.0
1722.0,40.666666666666664
1822.0,42.0
1823.0,40.5
1824.0,45.0
1923.0,42.0
1924.0,40.5
1925.0,45.0
2024.0,42.0
2025.0,40.5
2026.0,45.0
2125.0,42.0
2126.0,40.5
2127.0,45.0
2227.0,41.666666666666664
2228.0,45.0
2328.0,41.666666666666664
2329.0,45.0
2429.0,43.5
2430.0,45.0
2530.0,44.0
2531.0,45.0
2631.0,44.0
2632.0,45.0
2732.0,44.0
2733.0,45.0
2833.0,44.0
2834.0,45.0
2934.0,44.0
3035.0,44.0
3136.0,44.0
3237.0,44.0
