Iteration,FEvals
0.0,50.0
1.0,102.0
2.0,153.25
3.0,204.5
4.0,255.875
5.0,307.125
6.0,358.375
7.0,409.75
8.0,460.75
9.0,511.75
10.0,563.125
11.0,614.25
12.0,665.5
13.0,716.5
14.0,767.625
15.0,819.1428571428571
16.0,870.1428571428571
17.0,921.4285714285714
18.0,972.4285714285714
19.0,1023.5714285714286
20.0,1074.5714285714287
21.0,1125.8
22.0,1177.0
23.0,1228.0
24.0,1279.2
25.0,1330.6
26.0,1381.8
27.0,1432.8
28.0,1484.0
29.0,1535.0
30.0,1586.6666666666667
31.0,1638.0
32.0,1689.0
33.0,1740.0
34.0,1791.0
35.0,1841.5
36.0,1892.5
37.0,1943.5
38.0,1994.5
39.0,2046.0
40.0,2097.0
41.0,2150.0
42.0,2201.0
43.0,2252.0
44.0,2303.0
45.0,2354.0
46.0,2406.0
47.0,2457.0
48.0,2508.0
49.0,2559.0
50.0,2610.0
51.0,2661.0
52.0,2712.0
53.0,2763.0
54.0,2814.0
55.0,2865.0
56.0,2916.0
