Iteration,Fitness
0.0,13.875
1.0,34.75
2.0,35.25
3.0,35.625
4.0,36.0
5.0,36.25
6.0,36.5
7.0,37.25
8.0,37.25
9.0,37.25
10.0,37.75
11.0,38.25
12.0,38.625
13.0,38.625
14.0,38.875
15.0,39.857142857142854
16.0,39.857142857142854
17.0,40.142857142857146
18.0,40.142857142857146
19.0,40.714285714285715
20.0,40.714285714285715
21.0,41.8
22.0,42.0
23.0,42.0
24.0,42.2
25.0,42.8
26.0,43.0
27.0,43.0
28.0,43.25
29.0,43.25
30.0,43.333333333333336
31.0,43.666666666666664
32.0,43.666666666666664
33.0,43.666666666666664
34.0,43.666666666666664
35.0,44.0
36.0,44.0
37.0,44.0
38.0,44.0
39.0,44.5
40.0,44.5
41.0,45.0
42.0,45.0
43.0,45.0
44.0,45.0
45.0,45.0
46.0,46.0
47.0,46.0
48.0,46.0
49.0,46.0
50.0,46.0
51.0,46.0
52.0,46.0
53.0,46.0
54.0,46.0
55.0,46.0
56.0,46.0
