Iteration,Fitness
0,13.875
1,34.75
2,35.25
3,35.625
4,36.0
5,36.25
6,36.5
7,37.25
8,37.25
9,37.25
10,37.75
11,38.25
12,38.625
13,38.625
14,38.875
15,39.857142857142854
16,39.857142857142854
17,40.142857142857146
18,40.142857142857146
19,40.714285714285715
20,40.714285714285715
21,41.8
22,42.0
23,42.0
24,42.2
25,42.8
26,43.0
27,43.0
28,43.25
29,43.25
30,43.333333333333336
31,43.666666666666664
32,43.666666666666664
33,43.666666666666664
34,43.666666666666664
35,44.0
36,44.0
37,44.0
38,44.0
39,44.5
40,44.5
41,45.0
42,45.0
43,45.0
44,45.0
45,45.0
46,46.0
47,46.0
48,46.0
49,46.0
50,46.0
51,46.0
52,46.0
53,46.0
54,46.0
55,46.0
56,46.0
