FEvals,Fitness
0.0,13.875
1.0,19.0
2.0,16.0
3.0,14.0
4.0,21.5
5.0,18.375
6.0,11.2
7.0,21.428571428571427
8.0,21.0
9.0,22.375
10.0,25.0
11.0,22.625
12.0,21.571428571428573
13.0,21.8
14.0,23.625
15.0,26.142857142857142
16.0,27.0
17.0,27.5
18.0,29.5
19.0,27.142857142857142
20.0,28.0
21.0,28.0
22.0,30.142857142857142
23.0,28.375
24.0,27.571428571428573
25.0,28.875
26.0,28.875
27.0,28.875
28.0,28.875
29.0,28.875
30.0,28.875
31.0,27.714285714285715
32.0,29.0
33.0,29.0
34.0,29.0
35.0,30.857142857142858
36.0,29.375
37.0,31.857142857142858
38.0,29.75
39.0,29.75
40.0,31.285714285714285
41.0,30.25
42.0,30.25
43.0,30.25
44.0,28.833333333333332
45.0,29.714285714285715
46.0,30.875
47.0,30.875
48.0,30.875
49.0,30.875
50.0,30.875
51.0,30.875
52.0,30.714285714285715
53.0,31.0
54.0,29.857142857142858
55.0,30.142857142857142
56.0,31.0
57.0,31.5
58.0,31.5
59.0,31.5
60.0,31.5
61.0,31.5
62.0,31.5
63.0,31.5
64.0,31.5
65.0,31.5
66.0,31.5
67.0,31.5
68.0,31.5
69.0,31.5
70.0,31.5
71.0,31.5
72.0,30.142857142857142
73.0,31.75
74.0,31.571428571428573
75.0,32.125
76.0,32.125
77.0,32.125
78.0,32.125
79.0,34.57142857142857
80.0,32.5
81.0,32.5
82.0,32.5
83.0,32.5
84.0,32.5
85.0,32.5
86.0,32.5
87.0,32.5
88.0,32.5
89.0,32.5
90.0,32.5
91.0,32.5
92.0,32.5
93.0,32.5
94.0,32.5
95.0,32.5
96.0,32.5
97.0,32.5
98.0,32.5
99.0,31.0
100.0,32.75
101.0,31.714285714285715
102.0,32.875
103.0,32.875
104.0,32.875
105.0,32.875
106.0,32.875
107.0,32.875
108.0,29.0
109.0,32.714285714285715
110.0,29.125
111.0,29.125
112.0,29.125
113.0,29.125
114.0,29.125
115.0,25.625
116.0,28.857142857142858
117.0,25.75
118.0,28.857142857142858
119.0,26.0
120.0,28.166666666666668
121.0,29.375
122.0,33.333333333333336
123.0,30.125
124.0,31.142857142857142
125.0,30.375
126.0,30.375
127.0,30.375
128.0,33.42857142857143
129.0,33.5
130.0,33.5
131.0,35.714285714285715
132.0,33.875
133.0,32.857142857142854
134.0,34.0
135.0,34.0
136.0,35.857142857142854
137.0,34.5
138.0,34.5
139.0,34.5
140.0,34.5
141.0,34.57142857142857
142.0,35.0
143.0,35.0
144.0,35.0
145.0,35.0
146.0,34.0
147.0,35.375
148.0,35.375
149.0,35.375
150.0,35.375
151.0,35.375
152.0,35.375
153.0,35.375
154.0,35.375
155.0,35.375
156.0,35.375
157.0,35.375
158.0,35.375
159.0,35.0
160.0,35.5
161.0,36.0
162.0,35.625
163.0,35.142857142857146
164.0,35.75
165.0,35.75
166.0,35.75
167.0,35.75
168.0,35.75
169.0,35.75
170.0,35.75
171.0,35.75
172.0,35.75
173.0,35.75
174.0,34.42857142857143
175.0,35.875
176.0,31.875
177.0,31.875
178.0,31.875
179.0,31.875
180.0,31.875
181.0,31.875
182.0,31.875
183.0,35.857142857142854
184.0,29.833333333333332
185.0,32.5
186.0,32.5
187.0,31.571428571428573
188.0,36.714285714285715
189.0,33.0
190.0,36.714285714285715
191.0,33.25
192.0,33.25
193.0,32.142857142857146
194.0,33.5
195.0,33.5
196.0,33.5
197.0,33.5
198.0,33.5
199.0,32.285714285714285
200.0,37.142857142857146
201.0,28.75
202.0,32.57142857142857
203.0,26.857142857142858
204.0,29.125
205.0,29.125
206.0,31.166666666666668
207.0,29.75
208.0,29.75
209.0,29.75
210.0,29.75
211.0,33.285714285714285
212.0,32.42857142857143
213.0,30.25
214.0,29.857142857142858
215.0,33.0
216.0,31.125
217.0,31.125
218.0,31.125
219.0,31.125
220.0,31.0
221.0,31.75
222.0,31.75
223.0,35.285714285714285
224.0,32.125
225.0,32.125
226.0,28.428571428571427
227.0,30.0
228.0,30.0
229.0,37.666666666666664
230.0,30.5
231.0,33.857142857142854
232.0,30.75
233.0,30.75
234.0,33.857142857142854
235.0,32.714285714285715
236.0,30.285714285714285
237.0,31.75
238.0,32.25
239.0,32.714285714285715
240.0,32.5
241.0,35.833333333333336
242.0,36.0
243.0,35.57142857142857
244.0,36.125
245.0,36.125
246.0,36.125
247.0,36.125
248.0,36.125
249.0,36.125
250.0,36.125
251.0,36.125
252.0,37.857142857142854
253.0,36.25
254.0,36.25
255.0,36.25
256.0,36.25
257.0,36.25
258.0,36.857142857142854
259.0,36.375
260.0,36.375
261.0,36.375
262.0,36.375
263.0,36.375
264.0,36.375
265.0,36.375
266.0,36.375
267.0,36.375
268.0,39.714285714285715
269.0,36.75
270.0,36.75
271.0,36.75
272.0,36.75
273.0,36.75
274.0,36.75
275.0,36.75
276.0,31.714285714285715
277.0,32.0
278.0,31.714285714285715
279.0,32.5
280.0,32.5
281.0,32.5
282.0,32.5
283.0,32.5
284.0,32.5
285.0,32.5
286.0,32.5
287.0,32.5
288.0,36.142857142857146
289.0,33.25
290.0,33.25
291.0,33.25
292.0,33.25
293.0,35.714285714285715
294.0,33.5
295.0,33.5
296.0,33.5
297.0,33.5
298.0,33.5
299.0,33.5
300.0,33.5
301.0,33.5
302.0,33.5
303.0,33.5
304.0,33.5
305.0,33.5
306.0,33.5
307.0,33.5
308.0,31.714285714285715
309.0,31.714285714285715
310.0,31.714285714285715
311.0,31.714285714285715
312.0,31.714285714285715
313.0,34.0
314.0,32.285714285714285
315.0,32.285714285714285
316.0,32.285714285714285
317.0,31.0
318.0,32.42857142857143
319.0,31.5
320.0,32.714285714285715
321.0,32.714285714285715
322.0,26.571428571428573
323.0,27.333333333333332
324.0,26.857142857142858
325.0,26.857142857142858
326.0,24.333333333333332
327.0,31.166666666666668
328.0,27.571428571428573
329.0,28.166666666666668
330.0,27.714285714285715
331.0,30.166666666666668
332.0,26.166666666666668
333.0,28.428571428571427
334.0,28.428571428571427
335.0,28.428571428571427
336.0,32.166666666666664
337.0,29.0
338.0,29.0
339.0,32.166666666666664
340.0,29.142857142857142
341.0,29.142857142857142
342.0,29.142857142857142
343.0,29.142857142857142
344.0,29.142857142857142
345.0,29.142857142857142
346.0,29.142857142857142
347.0,29.142857142857142
348.0,29.142857142857142
349.0,29.142857142857142
350.0,29.142857142857142
351.0,29.142857142857142
352.0,29.142857142857142
353.0,29.142857142857142
354.0,29.833333333333332
355.0,33.6
356.0,30.166666666666668
357.0,30.166666666666668
358.0,30.166666666666668
359.0,30.166666666666668
360.0,33.6
361.0,30.333333333333332
362.0,30.333333333333332
363.0,30.333333333333332
364.0,30.333333333333332
365.0,30.333333333333332
366.0,30.333333333333332
367.0,30.333333333333332
368.0,30.333333333333332
369.0,30.333333333333332
370.0,33.0
371.0,34.6
372.0,35.333333333333336
373.0,35.333333333333336
374.0,35.333333333333336
375.0,35.333333333333336
376.0,35.333333333333336
377.0,35.333333333333336
378.0,35.333333333333336
379.0,35.333333333333336
380.0,35.333333333333336
381.0,35.333333333333336
382.0,35.333333333333336
383.0,35.333333333333336
384.0,35.333333333333336
385.0,35.333333333333336
386.0,35.333333333333336
387.0,35.333333333333336
388.0,35.333333333333336
389.0,35.333333333333336
390.0,34.6
391.0,35.5
392.0,35.5
393.0,35.5
394.0,35.5
395.0,35.5
396.0,35.5
397.0,35.5
398.0,35.5
399.0,35.5
400.0,35.5
401.0,35.5
402.0,35.5
403.0,35.5
404.0,35.5
405.0,35.5
406.0,35.5
407.0,35.5
408.0,35.5
409.0,35.5
410.0,35.5
411.0,38.2
412.0,36.0
413.0,36.0
414.0,36.0
