Iteration,FEvals
0.0,0.0
1.0,1.625
2.0,3.375
3.0,5.25
4.0,7.125
5.0,9.125
6.0,10.875
7.0,12.5
8.0,14.5
9.0,16.5
10.0,18.0
11.0,19.75
12.0,21.375
13.0,23.25
14.0,24.625
15.0,26.375
16.0,27.625
17.0,29.375
18.0,31.0
19.0,32.5
20.0,34.25
21.0,35.625
22.0,37.125
23.0,38.5
24.0,40.125
25.0,41.75
26.0,43.375
27.0,44.875
28.0,46.25
29.0,47.5
30.0,48.75
31.0,50.25
32.0,51.625
33.0,52.875
34.0,54.5
35.0,56.0
36.0,57.5
37.0,59.125
38.0,60.5
39.0,62.0
40.0,63.25
41.0,64.625
42.0,66.0
43.0,67.75
44.0,69.125
45.0,70.375
46.0,71.75
47.0,73.125
48.0,74.5
49.0,75.75
50.0,76.875
51.0,78.5
52.0,79.625
53.0,81.0
54.0,82.125
55.0,83.5
56.0,85.125
57.0,86.5
58.0,87.75
59.0,88.875
60.0,90.125
61.0,91.625
62.0,92.875
63.0,94.0
64.0,95.375
65.0,96.625
66.0,97.75
67.0,99.125
68.0,100.625
69.0,101.75
70.0,102.875
71.0,104.25
72.0,105.5
73.0,106.75
74.0,108.0
75.0,109.375
76.0,110.75
77.0,111.75
78.0,112.75
79.0,113.875
80.0,115.25
81.0,116.25
82.0,117.25
83.0,118.5
84.0,119.875
85.0,121.125
86.0,122.25
87.0,123.5
88.0,124.5
89.0,125.875
90.0,127.375
91.0,128.375
92.0,129.875
93.0,131.0
94.0,132.125
95.0,133.25
96.0,134.625
97.0,135.75
98.0,136.875
99.0,138.125
100.0,139.375
101.0,140.625
102.0,141.875
103.0,143.0
104.0,144.0
105.0,145.25
106.0,146.375
107.0,147.625
108.0,149.0
109.0,150.125
110.0,151.5
111.0,152.5
112.0,153.625
113.0,154.75
114.0,155.75
115.0,157.0
116.0,158.125
117.0,159.375
118.0,160.5
119.0,161.75
120.0,162.75
121.0,164.0
122.0,165.25
123.0,166.375
124.0,167.625
125.0,168.75
126.0,170.0
127.0,171.0
128.0,172.0
129.0,173.0
130.0,174.125
131.0,175.25
132.0,176.375
133.0,177.5
134.0,178.75
135.0,179.875
136.0,181.0
137.0,182.125
138.0,183.25
139.0,184.375
140.0,185.625
141.0,186.875
142.0,187.875
143.0,189.0
144.0,190.125
145.0,191.125
146.0,192.125
147.0,193.375
148.0,194.5
149.0,195.5
150.0,196.625
151.0,197.625
152.0,198.625
153.0,199.75
154.0,200.875
155.0,201.875
156.0,207.57142857142858
157.0,208.71428571428572
158.0,209.71428571428572
159.0,210.85714285714286
160.0,211.85714285714286
161.0,213.0
162.0,214.0
163.0,215.0
164.0,216.0
165.0,217.0
166.0,218.0
167.0,219.14285714285714
168.0,220.14285714285714
169.0,221.28571428571428
170.0,225.33333333333334
171.0,226.33333333333334
172.0,227.33333333333334
173.0,228.33333333333334
174.0,229.33333333333334
175.0,230.33333333333334
176.0,231.5
177.0,232.83333333333334
178.0,233.83333333333334
179.0,235.0
180.0,236.0
181.0,237.16666666666666
182.0,238.5
183.0,239.5
184.0,240.5
185.0,241.66666666666666
186.0,242.66666666666666
187.0,243.66666666666666
188.0,244.83333333333334
189.0,245.83333333333334
190.0,246.83333333333334
191.0,248.0
192.0,249.16666666666666
193.0,250.33333333333334
194.0,251.5
195.0,252.5
196.0,253.66666666666666
197.0,254.66666666666666
198.0,256.0
199.0,257.0
200.0,258.1666666666667
201.0,259.1666666666667
202.0,260.3333333333333
203.0,261.3333333333333
204.0,262.5
205.0,263.5
206.0,264.5
207.0,265.8333333333333
208.0,266.8333333333333
209.0,268.0
210.0,269.0
211.0,270.1666666666667
212.0,271.1666666666667
213.0,272.3333333333333
214.0,273.3333333333333
215.0,274.5
216.0,275.5
217.0,278.6
218.0,280.0
219.0,281.2
220.0,282.4
221.0,283.4
222.0,284.4
223.0,285.6
224.0,286.6
225.0,291.5
226.0,301.6666666666667
227.0,303.0
228.0,304.0
229.0,305.3333333333333
230.0,306.3333333333333
231.0,307.3333333333333
232.0,308.6666666666667
233.0,309.6666666666667
234.0,310.6666666666667
235.0,312.0
236.0,313.3333333333333
237.0,314.6666666666667
238.0,315.6666666666667
239.0,317.0
240.0,318.0
241.0,319.0
242.0,320.0
243.0,321.0
244.0,322.0
245.0,323.3333333333333
246.0,324.3333333333333
247.0,325.6666666666667
248.0,326.6666666666667
249.0,327.6666666666667
250.0,328.6666666666667
251.0,329.6666666666667
252.0,330.6666666666667
253.0,331.6666666666667
254.0,332.6666666666667
255.0,333.6666666666667
256.0,334.6666666666667
257.0,335.6666666666667
258.0,336.6666666666667
259.0,337.6666666666667
260.0,339.0
261.0,340.0
262.0,341.3333333333333
263.0,342.3333333333333
264.0,343.3333333333333
265.0,344.3333333333333
266.0,345.6666666666667
267.0,346.6666666666667
268.0,347.6666666666667
269.0,348.6666666666667
270.0,349.6666666666667
271.0,351.3333333333333
272.0,352.3333333333333
273.0,353.3333333333333
274.0,354.3333333333333
275.0,355.3333333333333
276.0,356.6666666666667
277.0,357.6666666666667
278.0,368.0
279.0,369.0
280.0,370.0
281.0,371.0
282.0,372.0
283.0,373.0
284.0,374.0
285.0,375.0
286.0,376.0
287.0,377.0
288.0,378.0
289.0,379.0
290.0,380.0
291.0,381.0
292.0,382.0
293.0,383.5
294.0,384.5
295.0,386.0
296.0,387.0
297.0,388.0
298.0,389.0
299.0,390.0
300.0,391.0
301.0,392.0
302.0,393.0
303.0,394.0
304.0,395.0
305.0,396.0
306.0,397.0
307.0,398.0
308.0,399.0
309.0,400.0
310.0,401.0
311.0,402.5
312.0,403.5
313.0,404.5
314.0,405.5
315.0,406.5
316.0,407.5
317.0,408.5
318.0,409.5
319.0,410.5
320.0,411.5
321.0,412.5
322.0,413.5
323.0,414.5
324.0,415.5
325.0,416.5
326.0,417.5
327.0,418.5
328.0,419.5
329.0,420.5
330.0,421.5
331.0,422.5
332.0,423.5
333.0,424.5
334.0,425.5
335.0,426.5
336.0,427.5
337.0,428.5
338.0,429.5
339.0,430.5
340.0,431.5
341.0,432.5
342.0,433.5
343.0,434.5
344.0,435.5
345.0,436.5
346.0,437.5
347.0,438.5
348.0,439.5
349.0,440.5
350.0,441.5
351.0,443.0
352.0,444.0
353.0,445.0
354.0,446.0
355.0,447.0
356.0,448.5
357.0,449.5
358.0,450.5
359.0,451.5
360.0,452.5
361.0,453.5
362.0,454.5
363.0,455.5
364.0,456.5
365.0,457.5
366.0,458.5
367.0,459.5
368.0,460.5
369.0,461.5
370.0,462.5
371.0,463.5
372.0,464.5
373.0,465.5
374.0,466.5
375.0,468.0
376.0,469.0
377.0,470.0
378.0,471.0
379.0,472.0
380.0,473.0
381.0,474.0
382.0,475.0
383.0,476.0
384.0,477.0
385.0,478.0
386.0,479.0
387.0,480.0
388.0,481.0
389.0,482.0
390.0,483.0
391.0,484.0
392.0,485.0
393.0,486.0
394.0,487.0
395.0,488.0
396.0,489.0
397.0,490.0
398.0,491.0
399.0,492.0
400.0,493.0
401.0,494.0
402.0,495.0
403.0,496.0
404.0,497.0
405.0,498.0
406.0,499.0
407.0,500.0
408.0,501.0
409.0,502.0
410.0,503.0
411.0,504.0
412.0,505.0
413.0,506.0
414.0,507.0
415.0,508.0
416.0,509.0
417.0,510.0
418.0,511.0
419.0,512.0
420.0,513.0
421.0,514.0
422.0,515.0
423.0,516.0
424.0,517.0
425.0,518.0
426.0,519.0
427.0,520.0
428.0,521.0
429.0,522.0
430.0,523.0
431.0,524.0
432.0,525.0
433.0,526.0
434.0,527.0
435.0,528.0
436.0,529.0
437.0,530.0
438.0,531.0
439.0,532.0
440.0,533.0
441.0,534.0
442.0,535.0
443.0,536.0
444.0,537.0
445.0,538.0
446.0,539.0
447.0,540.0
448.0,541.0
449.0,542.0
450.0,543.0
451.0,544.0
452.0,545.0
453.0,546.0
454.0,547.0
455.0,548.0
456.0,549.0
457.0,528.0
458.0,529.0
459.0,530.0
460.0,531.0
461.0,532.0
462.0,533.0
463.0,534.0
464.0,535.0
465.0,536.0
466.0,537.0
467.0,538.0
468.0,539.0
469.0,540.0
470.0,541.0
471.0,542.0
472.0,543.0
473.0,544.0
474.0,545.0
475.0,546.0
