Iteration,Fitness
0.0,13.875
1.0,14.375
2.0,17.75
3.0,18.125
4.0,21.375
5.0,21.625
6.0,21.625
7.0,21.625
8.0,22.5
9.0,23.25
10.0,23.375
11.0,26.75
12.0,26.75
13.0,27.375
14.0,27.5
15.0,28.25
16.0,28.25
17.0,28.5
18.0,28.5
19.0,28.5
20.0,29.0
21.0,29.0
22.0,29.125
23.0,29.5
24.0,29.5
25.0,29.625
26.0,29.625
27.0,29.625
28.0,29.625
29.0,29.625
30.0,29.625
31.0,30.125
32.0,30.125
33.0,30.125
34.0,30.125
35.0,30.375
36.0,30.625
37.0,30.625
38.0,30.625
39.0,30.875
40.0,30.875
41.0,30.875
42.0,30.875
43.0,31.0
44.0,31.25
45.0,32.0
46.0,32.0
47.0,32.5
48.0,32.5
49.0,32.5
50.0,32.625
51.0,33.25
52.0,33.25
53.0,33.25
54.0,33.375
55.0,33.875
56.0,34.125
57.0,34.125
58.0,34.375
59.0,34.375
60.0,34.375
61.0,34.5
62.0,34.5
63.0,34.5
64.0,34.5
65.0,34.5
66.0,34.5
67.0,34.5
68.0,34.625
69.0,34.875
70.0,34.875
71.0,35.0
72.0,35.0
73.0,35.0
74.0,35.0
75.0,35.375
76.0,35.625
77.0,35.625
78.0,35.625
79.0,35.625
80.0,35.625
81.0,35.625
82.0,35.625
83.0,35.625
84.0,35.625
85.0,35.875
86.0,35.875
87.0,36.0
88.0,36.0
89.0,36.0
90.0,36.0
91.0,36.0
92.0,36.0
93.0,36.0
94.0,36.375
95.0,36.375
96.0,36.5
97.0,36.5
98.0,36.5
99.0,36.625
100.0,36.875
101.0,37.125
102.0,37.125
103.0,37.125
104.0,37.125
105.0,37.125
106.0,37.125
107.0,37.25
108.0,37.25
109.0,37.25
110.0,37.875
111.0,37.875
112.0,37.875
113.0,37.875
114.0,37.875
115.0,37.875
116.0,38.0
117.0,38.125
118.0,38.125
119.0,38.125
120.0,38.125
121.0,38.125
122.0,38.125
123.0,38.125
124.0,41.25
125.0,41.375
126.0,41.375
127.0,41.375
128.0,41.375
129.0,41.375
130.0,41.375
131.0,41.375
132.0,41.75
133.0,41.75
134.0,41.75
135.0,41.75
136.0,41.75
137.0,41.75
138.0,41.75
139.0,41.75
140.0,41.75
141.0,41.75
142.0,41.75
143.0,41.75
144.0,41.75
145.0,41.75
146.0,41.75
147.0,41.75
148.0,41.75
149.0,41.75
150.0,41.75
151.0,41.75
152.0,41.75
153.0,41.75
154.0,41.75
155.0,41.75
156.0,44.142857142857146
157.0,44.285714285714285
158.0,44.285714285714285
159.0,44.285714285714285
160.0,44.285714285714285
161.0,44.285714285714285
162.0,44.285714285714285
163.0,44.285714285714285
164.0,44.285714285714285
165.0,44.285714285714285
166.0,44.285714285714285
167.0,44.285714285714285
168.0,44.285714285714285
169.0,44.285714285714285
170.0,44.0
171.0,44.0
172.0,44.0
173.0,44.0
174.0,44.0
175.0,44.0
176.0,44.0
177.0,44.333333333333336
