FEvals,Fitness
0.0,5.0
1.0,5.285714285714286
2.0,5.0
3.0,5.333333333333333
4.0,5.25
5.0,6.0
6.0,6.0
7.0,6.0
8.0,6.4
9.0,6.833333333333333
10.0,6.714285714285714
11.0,7.0
12.0,6.857142857142857
13.0,6.833333333333333
14.0,7.0
15.0,7.0
16.0,6.333333333333333
17.0,6.142857142857143
18.0,6.5
19.0,6.666666666666667
20.0,6.142857142857143
21.0,6.6
22.0,7.0
23.0,6.571428571428571
24.0,6.571428571428571
25.0,6.333333333333333
26.0,6.166666666666667
27.0,6.2
28.0,6.333333333333333
29.0,6.4
30.0,6.5
31.0,6.5
32.0,6.4
33.0,6.5
34.0,6.666666666666667
35.0,6.666666666666667
36.0,6.666666666666667
37.0,7.5
38.0,7.5
39.0,8.0
40.0,8.0
41.0,8.0
42.0,8.0
43.0,8.0
