Iteration,Fitness
0.0,5.0
1.0,5.25
2.0,5.142857142857143
3.0,5.428571428571429
4.0,5.714285714285714
5.0,6.142857142857143
6.0,6.571428571428571
7.0,7.0
8.0,7.0
9.0,7.0
10.0,7.0
11.0,7.0
12.0,7.0
13.0,7.142857142857143
14.0,7.142857142857143
15.0,7.0
16.0,7.166666666666667
17.0,7.166666666666667
18.0,7.166666666666667
19.0,7.166666666666667
20.0,7.333333333333333
21.0,7.333333333333333
22.0,7.333333333333333
23.0,7.333333333333333
24.0,7.666666666666667
25.0,7.4
26.0,7.4
27.0,7.25
28.0,7.25
29.0,7.25
30.0,7.25
31.0,7.25
32.0,7.25
33.0,7.25
34.0,7.25
35.0,7.0
36.0,7.0
37.0,7.0
38.0,7.0
39.0,7.0
40.0,7.0
41.0,7.0
42.0,7.0
43.0,7.666666666666667
44.0,7.666666666666667
45.0,7.666666666666667
46.0,7.666666666666667
47.0,7.666666666666667
48.0,7.666666666666667
49.0,7.666666666666667
50.0,7.666666666666667
51.0,8.333333333333334
52.0,8.0
53.0,8.0
54.0,8.0
55.0,8.0
56.0,8.0
57.0,8.0
58.0,8.0
59.0,8.0
60.0,8.0
61.0,8.0
62.0,8.0
63.0,8.0
64.0,8.0
65.0,8.0
66.0,8.0
67.0,8.0
68.0,8.0
69.0,8.0
70.0,8.0
71.0,8.0
72.0,8.0
73.0,8.0
74.0,8.0
75.0,8.0
76.0,8.0
77.0,8.0
78.0,8.0
79.0,8.0
80.0,9.0
