FEvals,Fitness
0.0,5.0
1.0,5.5
2.0,5.0
3.0,5.4
4.0,5.0
5.0,5.75
6.0,5.833333333333333
7.0,6.666666666666667
8.0,6.2
9.0,6.166666666666667
10.0,6.75
11.0,6.8
12.0,7.2
13.0,7.25
14.0,7.0
15.0,7.6
16.0,7.0
17.0,7.5
18.0,6.833333333333333
19.0,6.6
20.0,8.0
21.0,6.833333333333333
22.0,7.666666666666667
23.0,7.0
24.0,7.25
25.0,7.166666666666667
26.0,7.75
27.0,7.0
28.0,7.666666666666667
29.0,7.2
30.0,7.0
31.0,7.5
32.0,7.5
33.0,8.0
34.0,7.25
35.0,7.666666666666667
36.0,7.333333333333333
37.0,7.25
38.0,7.666666666666667
39.0,7.333333333333333
40.0,7.25
41.0,8.0
42.0,7.25
43.0,8.0
44.0,7.0
45.0,7.0
46.0,7.5
47.0,7.0
48.0,7.0
49.0,8.0
50.0,7.0
51.0,7.5
52.0,7.0
53.0,6.5
54.0,7.5
55.0,7.0
56.0,7.0
57.0,7.0
58.0,8.0
59.0,7.0
60.0,7.5
61.0,7.0
62.0,7.5
63.0,7.0
64.0,7.0
65.0,6.5
66.0,6.0
67.0,6.5
68.0,7.0
69.0,8.0
70.0,7.5
71.0,7.0
72.0,7.5
73.0,7.5
74.0,7.5
75.0,8.0
76.0,8.5
77.0,8.0
78.0,8.0
79.0,8.0
80.0,8.0
82.0,8.0
84.0,8.0
85.0,8.0
86.0,8.0
87.0,8.0
88.0,8.0
90.0,8.0
91.0,8.0
92.0,8.0
93.0,8.0
95.0,8.0
97.0,8.0
99.0,8.0
100.0,8.0
102.0,8.0
103.0,8.0
104.0,8.0
105.0,8.0
106.0,8.0
107.0,8.0
109.0,8.0
110.0,8.0
112.0,8.0
113.0,8.0
114.0,8.0
115.0,8.0
117.0,9.0
