Iteration,Fitness
0,5.0
1,5.25
2,5.142857142857143
3,5.428571428571429
4,5.714285714285714
5,6.142857142857143
6,6.571428571428571
7,7.0
8,7.0
9,7.0
10,7.0
11,7.0
12,7.0
13,7.142857142857143
14,7.142857142857143
15,7.0
16,7.166666666666667
17,7.166666666666667
18,7.166666666666667
19,7.166666666666667
20,7.333333333333333
21,7.333333333333333
22,7.333333333333333
23,7.333333333333333
24,7.666666666666667
25,7.4
26,7.4
27,7.25
28,7.25
29,7.25
30,7.25
31,7.25
32,7.25
33,7.25
34,7.25
35,7.0
36,7.0
37,7.0
38,7.0
39,7.0
40,7.0
41,7.0
42,7.0
43,7.666666666666667
44,7.666666666666667
45,7.666666666666667
46,7.666666666666667
47,7.666666666666667
48,7.666666666666667
49,7.666666666666667
50,7.666666666666667
51,8.333333333333334
52,8.0
53,8.0
54,8.0
55,8.0
56,8.0
57,8.0
58,8.0
59,8.0
60,8.0
61,8.0
62,8.0
63,8.0
64,8.0
65,8.0
66,8.0
67,8.0
68,8.0
69,8.0
70,8.0
71,8.0
72,8.0
73,8.0
74,8.0
75,8.0
76,8.0
77,8.0
78,8.0
79,8.0
80,9.0
