Iteration,FEvals
0.0,50.0
1.0,101.875
2.0,153.5
3.0,204.875
4.0,256.0
5.0,307.125
6.0,358.125
7.0,409.125
8.0,460.125
9.0,511.25
10.0,562.25
11.0,613.25
12.0,664.25
13.0,715.25
14.0,766.25
15.0,817.25
16.0,868.25
17.0,919.25
18.0,970.25
19.0,1021.25
20.0,1072.375
21.0,1123.375
22.0,1174.375
23.0,1225.375
24.0,1276.375
25.0,1327.375
26.0,1378.375
27.0,1429.375
28.0,1480.375
29.0,1531.375
30.0,1582.375
31.0,1633.375
32.0,1684.375
33.0,1735.375
34.0,1786.375
35.0,1837.375
36.0,1888.375
37.0,1939.375
38.0,1990.375
39.0,2041.375
40.0,2092.375
41.0,2143.375
42.0,2194.375
43.0,2245.375
44.0,2296.375
45.0,2347.375
46.0,2398.375
47.0,2449.375
48.0,2500.375
49.0,2551.375
50.0,2602.375
51.0,2653.375
52.0,2704.375
53.0,2755.375
54.0,2806.375
55.0,2857.375
56.0,2908.375
57.0,2959.375
58.0,3010.375
59.0,3061.375
60.0,3112.375
61.0,3163.375
62.0,3214.375
63.0,3265.375
64.0,3316.375
65.0,3367.375
66.0,3418.375
67.0,3469.375
68.0,3520.375
69.0,3571.375
70.0,3622.375
71.0,3673.375
72.0,3724.375
73.0,3775.375
74.0,3826.375
75.0,3877.375
76.0,3928.375
77.0,3979.375
78.0,4030.375
79.0,4081.375
80.0,4132.375
81.0,4183.375
82.0,4234.375
83.0,4285.375
84.0,4336.375
85.0,4387.375
86.0,4438.375
87.0,4489.375
88.0,4540.375
89.0,4591.375
90.0,4642.375
91.0,4693.375
92.0,4744.375
93.0,4795.375
94.0,4846.375
95.0,4897.375
96.0,4948.375
97.0,4999.375
98.0,5050.375
99.0,5101.375
100.0,5152.375
101.0,5203.375
102.0,5254.571428571428
103.0,5306.0
104.0,5358.0
105.0,5409.0
106.0,5460.0
107.0,5511.0
108.0,5562.0
109.0,5613.0
110.0,5664.0
111.0,5715.0
112.0,5766.0
113.0,5817.0
114.0,5868.0
115.0,5919.0
116.0,5970.0
117.0,6021.0
118.0,6072.0
119.0,6123.0
120.0,6174.0
