Iteration,FEvals
0.0,10.0
1.0,21.875
2.0,33.5
3.0,45.0
4.0,56.5
5.0,67.625
6.0,78.875
7.0,90.0
8.0,101.25
9.0,112.375
10.0,123.5
11.0,134.5
12.0,145.625
13.0,156.625
14.0,167.75
15.0,178.875
16.0,190.0
17.0,201.25
18.0,212.375
19.0,223.375
20.0,234.625
21.0,245.625
22.0,256.625
23.0,267.625
24.0,278.75
25.0,289.75
26.0,300.75
27.0,311.75
28.0,322.875
29.0,334.0
30.0,345.0
31.0,356.0
32.0,367.125
33.0,378.25
34.0,389.25
35.0,400.25
36.0,411.25
37.0,422.25
38.0,433.25
39.0,444.25
40.0,455.25
41.0,466.25
42.0,477.25
43.0,488.5
44.0,499.5
45.0,510.5
46.0,521.5
47.0,532.625
48.0,543.625
49.0,554.625
50.0,565.625
51.0,576.75
52.0,587.75
53.0,599.0
54.0,610.0
55.0,621.0
56.0,632.0
57.0,643.0
58.0,654.125
59.0,665.125
60.0,676.125
61.0,687.25
62.0,698.25
63.0,709.25
64.0,720.375
65.0,731.375
66.0,742.375
67.0,753.375
68.0,764.5
69.0,775.5
70.0,786.5
71.0,797.5
72.0,808.5
73.0,819.625
74.0,830.625
75.0,841.625
76.0,852.625
77.0,863.625
78.0,874.625
79.0,885.625
80.0,896.625
81.0,907.625
82.0,918.75
83.0,929.75
84.0,940.75
85.0,951.75
86.0,962.75
87.0,973.75
88.0,984.75
89.0,995.75
90.0,1006.75
91.0,1017.75
92.0,1028.75
93.0,1039.75
94.0,1050.75
95.0,1061.75
96.0,1072.75
97.0,1083.75
98.0,1094.75
99.0,1105.75
100.0,1116.75
101.0,1127.75
102.0,1138.75
103.0,1149.75
104.0,1160.75
105.0,1171.75
106.0,1182.75
107.0,1193.75
108.0,1204.75
109.0,1215.75
110.0,1226.75
111.0,1237.75
112.0,1248.75
113.0,1259.75
114.0,1270.75
115.0,1281.75
116.0,1292.75
117.0,1303.75
118.0,1314.75
119.0,1325.75
120.0,1336.75
121.0,1347.75
122.0,1358.75
123.0,1369.75
124.0,1380.75
125.0,1391.75
126.0,1402.75
127.0,1413.75
128.0,1424.75
129.0,1435.75
130.0,1446.75
131.0,1457.75
132.0,1468.75
133.0,1479.75
134.0,1490.875
135.0,1501.875
136.0,1512.875
137.0,1523.875
138.0,1534.875
139.0,1545.875
140.0,1556.875
141.0,1567.875
142.0,1578.875
143.0,1589.875
144.0,1600.875
145.0,1611.875
146.0,1622.875
147.0,1633.875
148.0,1644.875
149.0,1655.875
150.0,1666.875
151.0,1677.875
152.0,1688.875
153.0,1699.875
154.0,1710.875
155.0,1721.875
156.0,1732.875
157.0,1744.0
158.0,1755.0
159.0,1766.0
160.0,1777.0
161.0,1788.0
162.0,1799.0
163.0,1810.0
164.0,1821.0
165.0,1832.0
166.0,1843.0
167.0,1854.0
168.0,1865.0
169.0,1876.0
170.0,1887.0
171.0,1898.0
172.0,1909.0
173.0,1920.0
174.0,1931.0
175.0,1942.0
176.0,1953.0
177.0,1964.0
178.0,1975.0
179.0,1986.0
180.0,1997.0
181.0,2008.0
182.0,2019.0
183.0,2030.0
184.0,2041.0
185.0,2052.0
186.0,2063.0
187.0,2074.0
188.0,2085.0
189.0,2096.0
190.0,2107.0
191.0,2118.0
192.0,2129.0
193.0,2140.0
194.0,2151.0
195.0,2162.0
196.0,2173.0
197.0,2184.0
198.0,2195.0
199.0,2206.0
200.0,2217.0
201.0,2228.0
202.0,2239.0
203.0,2250.0
204.0,2261.0
205.0,2272.0
206.0,2283.0
207.0,2294.0
208.0,2305.0
209.0,2316.0
210.0,2327.0
211.0,2338.0
212.0,2349.0
213.0,2360.0
214.0,2371.0
215.0,2382.0
216.0,2393.0
217.0,2404.0
218.0,2415.0
219.0,2426.0
220.0,2437.0
221.0,2448.0
222.0,2459.0
223.0,2470.0
224.0,2481.0
225.0,2492.0
226.0,2503.0
227.0,2514.0
228.0,2525.0
229.0,2536.0
230.0,2547.0
231.0,2558.0
232.0,2569.0
233.0,2580.0
234.0,2591.0
235.0,2602.0
236.0,2613.0
237.0,2624.0
238.0,2635.0
239.0,2646.0
240.0,2657.0
241.0,2668.0
242.0,2679.0
243.0,2690.0
244.0,2701.0
245.0,2712.0
246.0,2723.0
247.0,2734.0
248.0,2745.0
249.0,2756.0
250.0,2767.0
251.0,2778.0
252.0,2789.0
253.0,2800.0
254.0,2811.0
255.0,2822.0
256.0,2833.0
257.0,2844.0
258.0,2855.0
259.0,2866.0
260.0,2877.0
261.0,2888.0
262.0,2899.0
263.0,2910.0
264.0,2921.0
265.0,2932.0
266.0,2943.0
267.0,2954.0
268.0,2965.0
269.0,2976.0
270.0,2987.0
271.0,2998.0
272.0,3009.0
273.0,3020.0
274.0,3031.0
275.0,3042.0
276.0,3053.0
277.0,3064.0
278.0,3075.0
279.0,3086.0
280.0,3097.0
281.0,3108.0
282.0,3119.0
283.0,3130.0
284.0,3141.0
285.0,3152.0
286.0,3163.0
287.0,3174.0
288.0,3185.0
289.0,3196.0
290.0,3207.0
291.0,3218.0
292.0,3229.0
293.0,3240.0
294.0,3251.0
295.0,3262.0
296.0,3273.0
297.0,3284.0
298.0,3295.0
299.0,3306.0
300.0,3317.0
301.0,3328.0
302.0,3339.0
303.0,3350.0
304.0,3361.0
305.0,3372.0
306.0,3383.0
307.0,3394.0
308.0,3405.0
309.0,3416.0
310.0,3427.0
311.0,3438.0
312.0,3449.0
313.0,3460.0
314.0,3471.0
315.0,3482.0
316.0,3493.0
317.0,3504.0
318.0,3515.0
319.0,3526.0
320.0,3537.0
321.0,3548.0
322.0,3559.0
323.0,3570.0
324.0,3581.0
325.0,3592.0
326.0,3603.0
327.0,3614.0
328.0,3625.0
329.0,3636.0
330.0,3647.0
331.0,3658.0
332.0,3669.0
333.0,3680.0
334.0,3691.0
335.0,3702.0
336.0,3713.0
337.0,3724.0
338.0,3735.0
339.0,3746.0
340.0,3757.0
341.0,3768.0
342.0,3779.0
343.0,3790.0
344.0,3801.0
345.0,3812.0
346.0,3823.0
347.0,3834.0
348.0,3845.0
349.0,3856.0
350.0,3867.0
351.0,3878.0
352.0,3889.0
353.0,3900.0
354.0,3911.0
355.0,3922.0
356.0,3933.0
357.0,3944.0
358.0,3955.0
359.0,3966.0
360.0,3977.0
361.0,3988.0
362.0,3999.0
363.0,4010.0
364.0,4021.0
365.0,4032.0
366.0,4043.0
367.0,4054.0
368.0,4065.0
369.0,4076.0
370.0,4087.0
371.0,4098.0
372.0,4109.0
373.0,4120.0
374.0,4131.0
375.0,4142.0
376.0,4153.0
377.0,4164.0
378.0,4175.0
379.0,4186.0
380.0,4197.0
381.0,4208.0
382.0,4219.0
383.0,4230.0
384.0,4241.0
385.0,4252.0
386.0,4263.0
387.0,4274.0
388.0,4285.0
389.0,4296.0
390.0,4307.0
391.0,4318.0
392.0,4329.0
393.0,4340.0
394.0,4351.0
395.0,4362.0
396.0,4373.0
397.0,4384.0
398.0,4395.0
399.0,4406.0
400.0,4417.0
401.0,4428.0
402.0,4439.0
403.0,4450.0
404.0,4461.0
405.0,4472.0
406.0,4483.0
407.0,4494.0
408.0,4505.0
409.0,4516.0
410.0,4527.0
411.0,4538.0
412.0,4549.0
413.0,4560.0
414.0,4571.0
415.0,4582.0
416.0,4593.0
417.0,4604.0
418.0,4615.0
419.0,4626.0
420.0,4637.0
421.0,4648.0
422.0,4659.0
423.0,4670.0
424.0,4681.0
425.0,4692.0
426.0,4703.0
427.0,4714.0
428.0,4725.0
429.0,4736.0
430.0,4747.0
431.0,4758.0
