Iteration,FEvals
0.0,0.0
1.0,2.0
2.0,3.25
3.0,4.375
4.0,6.0
5.0,7.625
6.0,8.875
7.0,10.25
8.0,11.5
9.0,12.875
10.0,14.125
11.0,15.125
12.0,16.375
13.0,17.375
14.0,18.375
15.0,19.75
16.0,20.75
17.0,22.0
18.0,23.0
19.0,24.25
20.0,25.375
21.0,26.625
22.0,27.625
23.0,28.625
24.0,29.625
25.0,30.875
26.0,32.0
27.0,33.0
28.0,34.0
29.0,35.0
30.0,36.125
31.0,37.125
32.0,38.375
33.0,39.375
34.0,40.625
35.0,41.875
36.0,43.375
37.0,44.5
38.0,45.75
39.0,46.875
40.0,48.0
41.0,49.125
42.0,50.125
43.0,51.25
44.0,52.25
45.0,53.5
46.0,54.5
47.0,55.625
48.0,56.875
49.0,57.875
50.0,58.875
51.0,59.875
52.0,61.0
53.0,62.0
54.0,63.125
55.0,64.125
56.0,65.25
57.0,66.625
58.0,67.75
59.0,68.75
60.0,69.875
61.0,70.875
62.0,71.875
63.0,72.875
64.0,73.875
65.0,75.0
66.0,76.125
67.0,77.125
68.0,78.375
69.0,79.625
70.0,80.625
71.0,81.625
72.0,82.75
73.0,83.75
74.0,84.75
75.0,85.875
76.0,87.0
77.0,88.0
78.0,89.0
79.0,90.0
80.0,91.125
81.0,92.125
82.0,93.125
83.0,94.125
84.0,95.125
85.0,96.25
86.0,97.25
87.0,98.25
88.0,99.5
89.0,100.5
90.0,101.5
91.0,102.5
92.0,103.5
93.0,104.5
94.0,105.5
95.0,106.625
96.0,107.625
97.0,108.75
98.0,109.75
99.0,110.75
100.0,112.0
101.0,113.125
102.0,114.125
103.0,115.375
104.0,116.375
105.0,117.375
106.0,118.375
107.0,119.375
108.0,120.375
109.0,121.5
110.0,122.5
111.0,123.5
112.0,124.5
113.0,125.5
114.0,126.625
115.0,127.75
116.0,128.75
117.0,129.75
118.0,130.75
119.0,131.75
120.0,132.875
121.0,133.875
122.0,134.875
123.0,135.875
124.0,136.875
125.0,137.875
126.0,138.875
127.0,139.875
128.0,140.875
129.0,141.875
130.0,142.875
131.0,143.875
132.0,144.875
133.0,145.875
134.0,146.875
135.0,147.875
136.0,148.875
137.0,149.875
138.0,150.875
139.0,151.875
140.0,152.875
141.0,153.875
142.0,154.875
143.0,155.875
144.0,156.875
145.0,158.0
146.0,159.0
147.0,160.0
148.0,161.0
149.0,162.0
150.0,163.0
151.0,164.0
152.0,165.0
153.0,166.42857142857142
154.0,167.57142857142858
155.0,168.71428571428572
156.0,169.71428571428572
157.0,170.71428571428572
158.0,171.71428571428572
159.0,172.71428571428572
160.0,173.71428571428572
161.0,174.71428571428572
162.0,175.71428571428572
163.0,176.71428571428572
164.0,177.71428571428572
165.0,178.71428571428572
166.0,179.71428571428572
167.0,180.71428571428572
168.0,181.71428571428572
169.0,182.71428571428572
170.0,183.71428571428572
171.0,184.71428571428572
172.0,185.71428571428572
173.0,187.0
174.0,188.0
175.0,189.0
176.0,190.0
177.0,191.0
178.0,192.0
179.0,193.0
180.0,194.0
181.0,196.2
182.0,197.2
183.0,198.2
184.0,199.2
185.0,200.2
186.0,201.2
187.0,202.2
188.0,203.2
189.0,204.2
190.0,205.2
191.0,206.2
192.0,207.2
193.0,208.2
194.0,209.2
195.0,210.2
196.0,211.2
197.0,212.2
198.0,213.2
199.0,214.2
200.0,215.2
201.0,216.2
202.0,217.2
203.0,218.2
204.0,219.66666666666666
205.0,220.66666666666666
206.0,221.66666666666666
207.0,222.66666666666666
208.0,223.66666666666666
209.0,224.66666666666666
210.0,225.66666666666666
211.0,226.66666666666666
212.0,227.66666666666666
213.0,228.66666666666666
214.0,229.66666666666666
215.0,230.66666666666666
216.0,231.66666666666666
217.0,232.66666666666666
218.0,233.66666666666666
219.0,234.66666666666666
220.0,235.66666666666666
221.0,239.0
222.0,240.0
223.0,241.0
224.0,242.0
225.0,243.0
226.0,244.0
227.0,245.0
228.0,246.0
229.0,247.0
230.0,248.0
231.0,249.0
232.0,250.0
233.0,251.0
234.0,252.0
235.0,253.0
236.0,254.0
237.0,255.0
238.0,256.0
239.0,257.0
240.0,258.0
241.0,259.0
242.0,260.0
243.0,261.0
244.0,262.0
245.0,263.0
246.0,264.0
247.0,265.0
248.0,266.0
249.0,267.0
250.0,268.0
251.0,269.0
252.0,270.0
253.0,271.0
254.0,272.0
255.0,273.0
256.0,275.0
257.0,276.0
258.0,277.0
259.0,278.0
260.0,279.0
261.0,280.0
262.0,281.0
263.0,282.0
264.0,283.0
265.0,284.0
266.0,285.0
267.0,286.0
268.0,287.0
269.0,288.0
270.0,289.0
271.0,290.0
272.0,291.0
273.0,292.0
274.0,293.0
275.0,294.0
276.0,295.0
277.0,296.0
278.0,297.0
279.0,298.0
280.0,299.0
281.0,300.0
